Date, Time, Field, Opponent, Result
2010-05-25, 7:00 PM, 1, Rehab This,
2010-06-01, 8:00 PM, 2, VCH Radiology,
2010-06-03, 9:00 PM, 1, Heart Throbs,
2010-06-08, 6:00 PM, 1, Sutures, L (0-?)
2010-06-15, 8:00 PM, 1, Rejections, ? (2-?)
2010-06-17, 6:00 PM, 1, Bad Medicine,
2010-06-22, 7:00 PM, 1, Misfits,
2010-06-29, 8:00 PM, 1, A-Team, L (3-5)
2010-07-01, 6:00 PM, 2, Scared Hitless, L (5-8)
2010-07-13, 7:00 PM, 2, Rehab This,
2010-07-15, 8:00 PM, 2, VCH Radiology, L (3-4?)
2010-07-27, 7:00 PM, , Rejections, L (4-6)
