Date, Time, Field, Home, Away, Result
2009-05-12, 6:00 PM, 3, Anesthesia Vaporizers, Ragin' Bayesians, W (F)
2009-05-19, 7:00 PM, 2, Sutures, Ragin' Bayesians, L (0-27)
2009-05-21, 6:00 PM, 3, Rehab This, Ragin' Bayesians, L (2-8)
2009-05-26, 7:00 PM, 3, Ragin' Bayesians, Dayani Dirtbags, L
2009-06-02, 7:00 PM, 2, Ragin' Bayesians, Misfits, L (6-12)
2009-06-09, 6:00 PM, 3, Dayani Dirtbags, Ragin' Bayesians, L (0-20)
2009-06-16, 6:00 PM, 3, Rehab This, Ragin' Bayesians, rain
2009-06-18, 6:00 PM, 2, Sutures, Ragin' Bayesians, L (1-15)
2009-06-23, 6:00 PM, 3, Sutures, Ragin' Bayesians, L
2009-06-23, 7:00 PM, 3, Rehab This, Ragin' Bayesians, L
2009-06-30, 7:00 PM, 3, Ragin' Bayesians, Dayani Dirtbags, L (2-17)
2009-07-07, 6:00 PM, 2, Ragin' Bayesians, Rehab This, L
2009-07-07, 7:00 PM, 2, Ragin' Bayesians, Misfits, L (5-14)
2009-07-14, 6:00 PM, 3, Dayani Dirtbags, Ragin' Bayesians
