Date, Time, Field, Home, Away
2010-05-25, 7:00 PM, 1, Rehab This, Ragin' Bayesians
2010-06-01, 8:00 PM, 2, VCH Radiology, Ragin' Bayesians
2010-06-03, 9:00 PM, 1, Heart Throbs, Ragin' Bayesians
2010-06-08, 6:00 PM, 1, Sutures, Ragin' Bayesians
2010-06-15, 8:00 PM, 1, Rejections, Ragin' Bayesians
2010-06-17, 6:00 PM, 1, Bad Medicine, Ragin' Bayesians
2010-06-22, 7:00 PM, 1, Misfits, Ragin' Bayesians
2010-06-29, 8:00 PM, 1, Ragin' Bayesians, A-Team
2010-07-01, 6:00 PM, 2, Ragin' Bayesians, Scared Hitless
2010-07-13, 7:00 PM, 2, Ragin' Bayesians, Rehab This
2010-07-15, 8:00 PM, 2, Ragin' Bayesians, VCH Radiology
2010-07-27, 7:00 PM, , Rejections, Ragin' Bayesians
