game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS
   1,      12,   7, 32, 30,  3, 10,   1,   0,  1,   3,  2,  2,  0,   0, 0.333, 0.375, 0.467, 0.842
   2,      12,   8, 38, 38,  6, 14,   4,   0,  2,   6,  0,  1,  0,   0, 0.368, 0.368, 0.632, 1.000
   3,      11,   5, 20, 20,  2,  6,   2,   1,  0,   2,  0,  3,  0,   1, 0.300, 0.300, 0.500, 0.800
   4,      10,   2, 14, 14,  7,  8,   1,   2,  1,   6,  0,  0,  0,   0, 0.571, 0.571, 1.143, 1.714
   5,      12,   6, 34, 33, 11, 16,   2,   2,  3,  11,  1,  0,  0,   0, 0.485, 0.500, 0.939, 1.439
   6,      11,   7, 26, 25,  1,  8,   0,   0,  0,   1,  1,  0,  0,   1, 0.320, 0.346, 0.320, 0.666
   7,      10,   7, 25, 25,  4,  8,   0,   0,  2,   4,  0,  1,  0,   1, 0.320, 0.320, 0.560, 0.880
   8,      11,   5, 34, 33, 15, 19,   2,   0,  2,  15,  1,  0,  0,   0, 0.576, 0.588, 0.818, 1.406
   9,      10,   7, 29, 26,  1,  6,   0,   0,  0,   1,  3,  0,  0,   1, 0.231, 0.310, 0.231, 0.541
  11,      11,   6, 33, 27,  5, 11,   1,   1,  0,   5,  6,  1,  0,   0, 0.407, 0.515, 0.519, 1.034
  12,      12,   5, 38, 28, 14, 16,   0,   1,  1,  14, 10,  0,  0,   3, 0.571, 0.684, 0.750, 1.434
  13,      13,   7, 36, 35,  6, 14,   1,   0,  1,   5,  1,  0,  0,   0, 0.400, 0.417, 0.514, 0.931
