Date,Time,Field,Home,Away
14-May-13,6:00 PM,1,Accelerators,Sutures
14-May-13,6:00 PM,2,Goodness of Hit,Skaars and Stripes
14-May-13,7:00 PM,1,HR,Scared Hitless
14-May-13,7:00 PM,2,Ionizers,Misfits
21-May-13,6:00 PM,1,Skaars and Stripes,Accelerators
21-May-13,6:00 PM,2,Sutures,Scared Hitless
21-May-13,7:00 PM,1,Goodness of Hit,Misfits
21-May-13,7:00 PM,2,HR,Ionizers
28-May-13,6:00 PM,1,Accelerators,Scared Hitless
28-May-13,6:00 PM,2,Skaars and Stripes,Misfits
28-May-13,7:00 PM,1,Sutures,Ionizers
28-May-13,7:00 PM,2,Goodness of Hit,HR
4-Jun-13,6:00 PM,1,Misfits,Accelerators
4-Jun-13,6:00 PM,2,Scared Hitless,Ionizers
4-Jun-13,7:00 PM,1,Skaars and Stripes,HR
4-Jun-13,7:00 PM,2,Sutures,Goodness of Hit
11-Jun-13,6:00 PM,1,Accelerators,Ionizers
11-Jun-13,6:00 PM,2,Misfits,HR
11-Jun-13,7:00 PM,1,Scared Hitless,Goodness of Hit
11-Jun-13,7:00 PM,2,Skaars and Stripes,Sutures
18-Jun-13,6:00 PM,1,HR,Accelerators
18-Jun-13,6:00 PM,2,Ionizers,Goodness of Hit
18-Jun-13,7:00 PM,1,Misfits,Sutures
18-Jun-13,7:00 PM,2,Scared Hitless,Skaars and Stripes
25-Jun-13,6:00 PM,1,Accelerators,Goodness of Hit
25-Jun-13,6:00 PM,2,HR,Sutures
25-Jun-13,7:00 PM,1,Ionizers,Skaars and Stripes
25-Jun-13,7:00 PM,2,Misfits,Scared Hitless
2-Jul-13,6:00 PM,1,Sutures,Accelerators
2-Jul-13,6:00 PM,2,Skaars and Stripes,Goodness of Hit
2-Jul-13,7:00 PM,1,Scared Hitless,HR
2-Jul-13,7:00 PM,2,Misfits,Ionizers
9-Jul-13,6:00 PM,1,Accelerators,Skaars and Stripes
9-Jul-13,6:00 PM,2,Scared Hitless,Sutures
9-Jul-13,7:00 PM,1,Misfits,Goodness of Hit
9-Jul-13,7:00 PM,2,Ionizers,HR
