game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
   1,      12,   5, 34, 33, 18, 20,   3,   2,  3,  18,  1,  0,  0,   0, 0.606, 0.618, 1.091, 1.709, 0.515, 15.701, 13.730
   2,      13,   5, 26, 24,  8,  9,   0,   0,  2,   8,  2,  1,  0,   0, 0.375, 0.423, 0.625, 1.048, 0.333,  6.046,  5.790
   3,      11,   4, 33, 31, 13, 19,   1,   0,  2,  13,  2,  3,  0,   0, 0.613, 0.636, 0.839, 1.475, 0.290, 13.015, 11.440
   4,      14,   7, 28, 28,  1,  8,   1,   0,  0,   1,  0,  2,  0,   0, 0.286, 0.286, 0.321, 0.607, 0.036,  2.697,  2.580
   5,      13,   6, 34, 31,  7, 14,   3,   0,  3,   7,  3,  1,  0,   0, 0.452, 0.500, 0.839, 1.339, 0.484, 10.673, 10.050
   6,      11,   6, 32, 30,  2, 12,   2,   0,  0,   2,  2,  2,  0,   0, 0.400, 0.438, 0.467, 0.904, 0.133,  6.237,  5.660
   7,      11,   4, 30, 23, 11, 11,   0,   0,  0,  11,  7,  1,  0,   0, 0.478, 0.600, 0.478, 1.078, 0.304,  7.788,  6.880
   8,      12,   5, 42, 40, 20, 26,   2,   2,  3,  20,  1,  0,  1,   0, 0.650, 0.643, 1.025, 1.668, 0.400, 19.259, 16.790
   9,      13,   7, 29, 29,  5,  9,   2,   0,  0,   5,  0,  0,  0,   0, 0.310, 0.310, 0.379, 0.690, 0.069,  3.489,  3.140
  10,      14,   5, 29, 24,  7, 11,   3,   0,  0,   7,  4,  0,  0,   0, 0.458, 0.536, 0.583, 1.119, 0.292,  7.037,  6.350
  11,      13,   7, 34, 31,  7, 11,   0,   0,  2,   7,  2,  2,  1,   0, 0.355, 0.382, 0.548, 0.931, 0.258,  6.676,  6.790
