   batter, seasons, games, inn,  PA,  AB,   R,   H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,      RC,      XR
    Adiba,       1,     5,  26,  12,  11,   1,   2,   0,   0,  0,   0,  1,  2,  0,   0, 0.182, 0.250, 0.182, 0.432, 0.091,   0.524,   0.690
    Alice,       1,     4,  22,  12,  11,   0,   0,   0,   0,  0,   0,  1,  1,  0,   0, 0.000, 0.083, 0.000, 0.083, 0.091,  -0.798,  -0.570
  Allison,       1,     1,   5,   3,   3,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
      Amy,       2,     9,  47,  20,  18,   0,   2,   0,   0,  0,   1,  2,  1,  0,   0, 0.111, 0.200, 0.111, 0.311, 0.111,   0.139,   0.320
     AmyW,       1,     1,   5,   3,   3,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
   Audrey,       3,     3,   8,   4,   4,   0,   0,   0,   0,  0,   0,  0,  0,  0,   1, 0.000, 0.000, 0.000, 0.000, 0.000,  -0.733,  -0.360
   Austin,       4,    29, 117,  62,  60,  12,  25,   1,   1,  1,  12,  2,  1,  0,   0, 0.417, 0.435, 0.517, 0.952, 0.133,  13.427,  11.810
   Bashar,       2,     5,  16,   8,   8,   0,   3,   0,   0,  0,   1,  0,  0,  0,   0, 0.375, 0.375, 0.375, 0.750, 0.000,   1.241,   1.050
     Beth,       2,     3,  19,   9,   9,   1,   3,   0,   0,  0,   1,  0,  1,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   1.113,   1.040
   Brandi,       1,     1,   4,   3,   2,   1,   1,   0,   0,  0,   1,  1,  0,  0,   0, 0.500, 0.667, 0.500, 1.167, 0.500,   0.849,   0.750
    Brant,       1,     1,   5,   3,   2,   1,   0,   0,   0,  0,   2,  1,  0,  0,   2, 0.000, 0.333, 0.000, 0.333, 0.500,  -0.567,   0.160
    Bryan,       1,     1,   3,   1,   1,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000, 0.000,   0.658,   0.500
    Casey,       3,     3,  15,   5,   5,   0,   2,   0,   0,  0,   0,  0,  0,  0,   1, 0.400, 0.400, 0.400, 0.800, 0.000,   0.483,   0.730
    Cathy,      10,    48, 257, 137, 118,  18,  30,   0,   0,  0,  18, 19,  9,  0,   2, 0.254, 0.358, 0.254, 0.612, 0.161,  13.823,  14.260
  Charlie,       1,     3,  11,   4,   4,   2,   3,   0,   1,  0,   0,  0,  0,  0,   0, 0.750, 0.750, 1.250, 2.000, 0.500,   2.444,   1.950
    Chris,       3,     6,  29,  12,  10,   0,   3,   0,   0,  0,   2,  2,  1,  0,   0, 0.300, 0.417, 0.300, 0.717, 0.200,   1.692,   1.630
     Cole,      11,    70, 381, 213, 194, 110, 139,  19,  15, 50, 132, 18,  5,  1,   0, 0.716, 0.737, 1.742, 2.479, 1.119, 146.512, 130.720
      Dan,       1,     2,   7,   2,   2,   0,   1,   0,   0,  0,   0,  0,  1,  0,   0, 0.500, 0.500, 0.500, 1.000, 0.000,   0.483,   0.490
     Dave,       2,    12,  40,  21,  21,   5,   9,   1,   0,  0,   3,  0,  0,  0,   0, 0.429, 0.429, 0.476, 0.905, 0.048,   4.260,   3.640
    Donna,       4,    15,  72,  33,  30,   4,   5,   0,   0,  0,   1,  3,  0,  0,   0, 0.167, 0.242, 0.167, 0.409, 0.100,   1.274,   1.270
   Dustin,       1,     1,   6,   4,   4,   1,   3,   1,   1,  0,   2,  0,  0,  0,   0, 0.750, 0.750, 1.500, 2.250, 0.750,   2.642,   2.170
Elizabeth,       2,     5,  27,   8,   7,   0,   0,   0,   0,  0,   0,  1,  3,  0,   1, 0.000, 0.125, 0.000, 0.125, 0.143,  -0.755,  -0.050
      Eve,       1,     1,   7,   2,   1,   0,   0,   0,   0,  0,   0,  1,  1,  0,   0, 0.000, 0.500, 0.000, 0.500, 1.000,   0.214,   0.330
   FrankF,       8,    42, 198,  95,  83,  25,  43,   7,   1,  3,  21, 11,  2,  1,   0, 0.518, 0.568, 0.735, 1.303, 0.349,  30.150,  27.070
   FrankH,       5,    17,  78,  34,  30,   4,  14,   1,   0,  0,   5,  4,  1,  0,   0, 0.467, 0.529, 0.500, 1.029, 0.167,   8.275,   7.220
    Heidi,       1,     2,  12,   8,   6,   2,   4,   1,   0,  0,   3,  1,  0,  1,   0, 0.667, 0.625, 0.833, 1.458, 0.333,   2.832,   2.750
  Houston,       1,     2,   9,   6,   6,   5,   5,   1,   1,  3,   9,  0,  0,  0,   0, 0.833, 0.833, 2.833, 3.667, 2.000,   6.779,   5.990
  Jeffrey,      11,    62, 327, 172, 161,  35,  86,   7,   5, 10,  59,  9,  7,  2,   1, 0.534, 0.552, 0.826, 1.378, 0.348,  59.819,  54.250
 JeffreyX,       1,     1,   3,   1,   1,   1,   1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000, 0.000,   0.658,   0.500
 Jennifer,       2,    11,  62,  34,  32,   1,  15,   0,   0,  0,   5,  2,  0,  0,   2, 0.469, 0.500, 0.469, 0.969, 0.062,   7.110,   6.650
   Jeremy,       3,    10,  42,  19,  19,   5,  10,   0,   0,  0,   3,  0,  0,  0,   0, 0.526, 0.526, 0.526, 1.053, 0.000,   5.091,   4.190
    Jiang,       2,     6,  22,   9,   9,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.111, 0.111, 0.111, 0.222, 0.000,  -0.253,  -0.220
    JohnB,       1,     1,   7,   3,   3,   0,   0,   0,   0,  0,   0,  0,  0,  0,   1, 0.000, 0.000, 0.000, 0.000, 0.000,  -0.633,  -0.270
    JohnP,       1,     1,   5,   1,   1,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 1.000, 1.000, 1.000, 2.000, 0.000,   0.658,   0.500
     Kate,       1,     1,   4,   3,   3,   1,   2,   0,   0,  0,   0,  0,  1,  0,   0, 0.667, 0.667, 0.667, 1.333, 0.000,   1.120,   0.990
    Kelly,       5,    19,  91,  43,  38,   0,   4,   0,   0,  0,   0,  5, 15,  0,   1, 0.105, 0.209, 0.105, 0.315, 0.132,  -0.096,   1.840
      Kim,       2,     4,  20,  10,  10,   0,   0,   0,   0,  0,   0,  0,  1,  0,   1, 0.000, 0.000, 0.000, 0.000, 0.000,  -1.344,  -0.820
    Kylie,      10,    31, 157,  81,  77,   6,  12,   0,   0,  0,   8,  4,  5,  0,   1, 0.156, 0.198, 0.156, 0.353, 0.052,   1.054,   1.910
    Leena,       7,    22, 106,  50,  41,   7,  11,   0,   0,  0,   4,  9,  5,  0,   0, 0.268, 0.400, 0.268, 0.668, 0.220,   6.266,   6.260
    Linda,       3,     3,  13,   7,   7,   0,   0,   0,   0,  0,   1,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  -0.700,  -0.630
     Lucy,       1,     6,  34,  16,  15,   1,   1,   0,   0,  0,   0,  1,  3,  0,   0, 0.067, 0.125, 0.067, 0.192, 0.067,  -0.570,  -0.180
    Mario,      10,    33, 162,  89,  82,  25,  48,   8,   4,  1,  17,  7,  2,  0,   1, 0.585, 0.618, 0.817, 1.435, 0.317,  32.705,  28.340
    MarkG,       3,    12,  51,  24,  20,   4,  11,   1,   0,  0,   3,  4,  3,  0,   0, 0.550, 0.625, 0.600, 1.225, 0.250,   7.299,   6.510
    MarkL,       5,    33, 165,  85,  85,  25,  54,   8,  10,  5,  42,  0,  1,  0,   0, 0.635, 0.635, 1.141, 1.776, 0.506,  42.283,  36.150
 Meridith,       3,     5,  26,  10,   8,   1,   1,   0,   0,  0,   1,  2,  1,  0,   0, 0.125, 0.300, 0.125, 0.425, 0.250,   0.499,   0.630
