    batter, seasons, games, inn,  PA,  AB,   R,   H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,      RC,      XR
     Adiba,       1,     5,  26,  12,  11,   1,   2,   0,   0,  0,   0,  1,  2,  0,   0, 0.182, 0.250, 0.182, 0.432, 0.091,   0.524,   0.514
     Alice,       2,     7,  39,  22,  21,   1,   0,   0,   0,  0,   3,  1,  3,  0,   0, 0.000, 0.045, 0.000, 0.045, 0.048,  -1.820,  -1.574
   Allison,       1,     1,   5,   3,   3,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
    Amanda,       1,     1,   5,   2,   2,   0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  -0.200,  -0.180
       Amy,       2,     9,  47,  20,  18,   0,   2,   0,   0,  0,   1,  2,  1,  0,   0, 0.111, 0.200, 0.111, 0.311, 0.111,   0.139,   0.232
      AmyW,       1,     2,   5,   3,   3,   0,   1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   0.375,   0.320
    Audrey,       3,     3,   8,   4,   4,   0,   0,   0,   0,  0,   0,  0,  0,  0,   1, 0.000, 0.000, 0.000, 0.000, 0.000,  -0.733,  -0.730
    Austin,       5,    30, 122,  65,  63,  12,  25,   1,   1,  1,  12,  2,  1,  0,   0, 0.397, 0.415, 0.492, 0.907, 0.127,  13.051,  11.452
    Bashar,       2,     5,  16,   8,   8,   0,   3,   0,   0,  0,   1,  0,  0,  0,   0, 0.375, 0.375, 0.375, 0.750, 0.000,   1.241,   1.050
       Ben,       1,     1,   0,   0,   0,   0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,   0.000,   0.000
      Beth,       2,     3,  19,   9,   9,   1,   3,   0,   0,  0,   1,  0,  1,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,   1.113,   0.952
    Brandi,       2,     2,   9,   6,   5,   2,   2,   0,   0,  0,   1,  1,  0,  0,   1, 0.400, 0.500, 0.400, 0.900, 0.200,   0.838,   0.700
     Brant,       1,     1,   5,   3,   2,   1,   0,   0,   0,  0,   2,  1,  0,  0,   2, 0.000, 0.333, 0.000, 0.333, 0.500,  -0.567,  -0.580
  Brooklyn,       1,     5,  22,  13,  12,   2,   2,   0,   0,  0,   0,  1,  5,  0,   0, 0.167, 0.231, 0.167, 0.397, 0.083,   0.384,   0.400
     Bryan,       4,     4,   8,   3,   3,   0,   2,   0,   0,  0,   0,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333, 0.000,   1.133,   0.910
     Casey,       4,     4,  15,   5,   5,   0,   2,   0,   0,  0,   0,  0,  0,  0,   1, 0.400, 0.400, 0.400, 0.800, 0.000,   0.483,   0.360
   Cassidy,       2,     7,  23,  13,  11,   2,   2,   0,   0,  0,   1,  2,  0,  0,   0, 0.182, 0.308, 0.182, 0.490, 0.182,   0.885,   0.870
     Cathy,      12,    55, 267, 142, 121,  21,  30,   0,   0,  0,  19, 21,  9,  0,   2, 0.248, 0.359, 0.248, 0.607, 0.174,  14.175,  13.138
   Charlie,       1,     3,  11,   4,   4,   2,   3,   0,   1,  0,   0,  0,  0,  0,   0, 0.750, 0.750, 1.250, 2.000, 0.500,   2.444,   1.950
     Chris,       3,     6,  29,  12,  10,   0,   3,   0,   0,  0,   2,  2,  1,  0,   0, 0.300, 0.417, 0.300, 0.717, 0.200,   1.692,   1.542
      Cole,      17,   101, 513, 296, 266, 155, 197,  29,  25, 71, 201, 26,  6,  4,   3, 0.741, 0.753, 1.838, 2.592, 1.195, 211.236, 188.072
       Dan,       1,     2,   7,   2,   2,   0,   1,   0,   0,  0,   0,  0,  1,  0,   0, 0.500, 0.500, 0.500, 1.000, 0.000,   0.483,   0.402
      Dave,       3,    13,  45,  23,  23,   5,  10,   1,   0,  0,   3,  0,  0,  0,   0, 0.435, 0.435, 0.478, 0.913, 0.043,   4.755,   4.050
     David,       1,     1,   0,   0,   0,   0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,   0.000,   0.000
     Diane,       1,     1,   0,   0,   0,   0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,   0.000,   0.000
