       season, game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
03-2010summer,    1,       5,   5,  6,  4,  0,  1,   0,   0,  0,   0,  2,  0,  0,   0, 0.250, 0.500, 0.250, 0.750, 0.500,  0.949,  0.910
03-2010summer,    2,       5,   5,  5,  3,  2,  2,   0,   0,  0,   1,  2,  0,  0,   0, 0.667, 0.800, 0.667, 1.467, 0.667,  1.840,  1.590
03-2010summer,    3,       8,   5, 11, 11,  4,  6,   3,   0,  0,   4,  0,  1,  0,   0, 0.545, 0.545, 0.818, 1.364, 0.273,  3.651,  3.290
03-2010summer,    4,      16,   5, 20, 20,  0,  5,   0,   0,  0,   0,  0,  0,  0,   0, 0.250, 0.250, 0.250, 0.500, 0.000,  1.323,  1.150
03-2010summer,    5,      11,   5, 22, 22,  2,  7,   0,   0,  0,   0,  0,  1,  0,   0, 0.318, 0.318, 0.318, 0.636, 0.000,  2.500,  2.230
03-2010summer,    8,      10,   5, 25, 23,  3, 10,   0,   1,  0,   3,  2,  2,  0,   1, 0.435, 0.480, 0.522, 1.002, 0.174,  5.472,  5.210
03-2010summer,    9,      12,   5, 28, 27,  5, 13,   2,   0,  1,   5,  1,  0,  0,   0, 0.481, 0.500, 0.667, 1.167, 0.222,  7.876,  6.960
03-2010summer,   11,      13,   5, 23, 23,  3,  8,   1,   0,  1,   3,  0,  3,  0,   0, 0.348, 0.348, 0.522, 0.870, 0.174,  4.046,  4.050
03-2010summer,   12,      13,   7, 33, 32,  4, 12,   0,   0,  1,   4,  1,  0,  0,   0, 0.375, 0.394, 0.469, 0.863, 0.125,  6.123,  5.480
  04-2010fall,    2,      10,   5, 26, 26,  5, 13,   1,   1,  0,   3,  0,  0,  0,   0, 0.500, 0.500, 0.615, 1.115, 0.115,  7.238,  6.090
  04-2010fall,    4,      12,   4, 31, 17, 10,  7,   0,   0,  0,  10, 14,  1,  0,   0, 0.412, 0.677, 0.412, 1.089, 0.824,  7.967,  7.440
  04-2010fall,    5,      13,   6, 30, 28,  1, 10,   1,   0,  0,   1,  2,  3,  0,   0, 0.357, 0.400, 0.393, 0.793, 0.107,  4.819,  4.520
