       season, games, batters, inn,  PA,  AB,  R,   H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
01-2009summer,     5,      63,   0,   0,   0,  0,   0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
03-2010summer,     9,     111,  47, 173, 165, 23,  64,   6,   1,  3,  22,  8,  7,  0,   1, 0.388, 0.416, 0.491, 0.907, 0.152, 33.578, 29.884
  04-2010fall,     4,      48,  22, 117,  98, 17,  37,   2,   1,  0,  17, 19,  7,  0,   0, 0.378, 0.479, 0.418, 0.897, 0.235, 22.921, 20.394
05-2011summer,     8,      97,  43, 201, 175, 30,  56,   7,   3,  1,  30, 25, 15,  1,   1, 0.320, 0.403, 0.411, 0.814, 0.234, 32.180, 29.770
  06-2011fall,     6,      68,  35, 181, 163, 32,  69,  11,   5,  7,  32, 18, 22,  0,   3, 0.423, 0.481, 0.681, 1.162, 0.368, 46.780, 42.574
07-2012spring,     3,      36,  14,  77,  72, 12,  31,   3,   1,  2,  12,  5, 10,  0,   0, 0.431, 0.468, 0.583, 1.051, 0.222, 18.550, 16.510
08-2012summer,    12,     135,  72, 359, 333, 75, 136,  14,   7, 13,  75, 25,  8,  1,   7, 0.408, 0.448, 0.610, 1.058, 0.276, 83.159, 75.566
  09-2012fall,     5,      49,  30, 164, 155, 38,  71,  11,   4,  2,  38,  8, 14,  1,   3, 0.458, 0.482, 0.619, 1.101, 0.213, 41.109, 36.268
10-2013summer,    11,     137,  61, 351, 325, 99, 150,  17,   4, 15,  99, 24, 12,  2,   0, 0.462, 0.496, 0.677, 1.173, 0.289, 97.698, 88.054
  11-2013fall,     6,      67,  38, 204, 189, 53,  84,   6,   7, 14,  53, 13, 25,  2,   2, 0.444, 0.475, 0.772, 1.248, 0.397, 59.467, 55.030
12-2014summer,     8,      95,  44, 245, 228, 72, 108,   9,   7, 15,  72, 14, 10,  3,   3, 0.474, 0.498, 0.772, 1.270, 0.360, 74.183, 67.740
  13-2014fall,     7,      80,  39, 215, 200, 59,  84,   8,   5, 15,  59, 15, 21,  0,   0, 0.420, 0.460, 0.735, 1.195, 0.390, 59.518, 55.052
14-2015summer,     6,      64,  25, 136, 122, 30,  49,   5,   5,  6,  30, 14,  2,  0,   2, 0.402, 0.463, 0.672, 1.135, 0.385, 34.280, 31.374
  15-2015fall,     7,      82,  44, 262, 237, 92, 116,  19,   6, 22,  92, 24, 21,  1,   2, 0.489, 0.534, 0.899, 1.433, 0.511, 90.213, 82.832
16-2016summer,     6,      65,  29, 187, 174, 62,  94,   8,   6, 11,  62, 11, 11,  2,   1, 0.540, 0.561, 0.845, 1.406, 0.368, 66.559, 59.162
  17-2016fall,     2,      21,  12,  65,  58, 21,  28,   7,   1,  9,  21,  7, 11,  0,   0, 0.483, 0.538, 1.103, 1.642, 0.741, 25.535, 24.132
